,Title,Poem,Poet,Tags
37,"
                    Personal Effects
                ","



Like guns and cars, cameras
are fantasy-machines whose use is addictive.
—Susan Sontag

 



I place a photograph of my uncle on my computer desktop, which means I learn to ignore it. He stands by a tank, helmet tilting to his right, bootlaces tightened as if stitching together a wound. Alive the hand brings up a cigarette we won't see him taste. Last night I smoked one on the steps outside my barn apartment. A promise I broke myself. He promised himself he wouldn't and did. I smell my fingers and I am smelling his. Hands of smoke and gunpowder. Hands that promised they wouldn't, but did.           
This album is a stop-loss. By a dim lantern
or in the latrine
he flips through it.
He looks at himself
looking nearly as he does—
closest to himself then
as he could be, just learning
how to lean into his new body.
He suspends there
by standing order,
a spreading fire in his chest,
his groin. He is on stage
for us to see him, see him?
He stands in the noontime sun.     
 
A young soldier (pictured above) the son of an imam, brother to six, is among the latest casualties in the military campaign of Susangerd.    
 
your whole body in a photo your whole body sitting on a crate pressing your eyesocket to the viewfinder of a bazooka crouched as you balance the metal tube on your shoulder in one you guide a belt of ammo into the untiring weapon proud your elbow out as if mid-waltz your frame strong and lightly supporting the gun a kind of smile ruining the picture           
You’re posing. You’re scared.
A body falls
and you learn to step over 
a loosened head. You begin to appreciate
the heft of your boot soles,
how they propel you, 
how they can kick in
a face–
the collapse 
of a canopy bed
in an aerial bombardment,
mosquito netting doused 
in napalm–cheekbones fragile
as moth wings beneath the heel.
You tighten your laces 
until they hold together
a capable man.
Whatever rains, 
the weight of your feet
swings you forward,
goose-stepping pendulums 
a body less and less yours–
a body, God knows,
is not what makes you 
anyway. So the hands
that said they never would
begin finding 
grenade pins around their fingers,
begin flipping through this album
with soot under their nails      
you were not ready
But they issued the shovel and the rifle and you dug
But to watch you sitting there between the sandbags
But to watch the sand spilling out the bullet holes
But what did they expect
But what did they really think a sheet of metal could prevent
But I sat rolling little ears of pasta off my thumb like helmets
But it was not a table of fallen men
But my hand registered fatigue
But the men in fatigues were tired of sleeping in shifts
But you snuck into town and dialed home until you wrote your fingers
       were tired
But the code for Shiraz was down
But all of Shiraz was down
But the sheet lightning above the Ferris wheel of rusted bolts
But I am sure they are alright you wrote Well to reassure yourself
But the wind like an old mouth shaking the unnamed evergreen outside
       my window
But what I mean is I'd like very much to talk a bit  Hello          
 
Operation Ramadan was an offensive in the Iran-Iraq War. It was launched by Iran in July 1982 near Basra and featured the use of human wave attacks in one of the largest land battles since World War II. Aftermath: The operation was the first of many disastrous offensives which cost thousands of lives on both sides. This one in general boosted the casualty limit up to 80,000 killed, 200,000 wounded, and 45,000 captured. In retrospect, the Iranians lacked effective command and control, air support, and logistics to sustain an attack in the first place. Saddam Hussein offered several ceasefire attempts in the following year, none of which were accepted by the Revolutionary regime. [6] [dead link] 
   Congratulations and condolences 
They would say That's the house of a martyr
pointing with their nose That's the mother of a martyr 
They are building a museum
for the martyrs.
Some metal shelf
a white archival box 
with his personal effects. 
I am attempting my own 
myth-making. He didn’t want to have 
anything",Solmaz Sharif,"Living,Death,Sorrow & Grieving,Love,Heartache & Loss,Relationships,Family & Ancestors,Social Commentaries,History & Politics,War & Conflict"
38,"
                    Imperatives for Carrying On in the Aftermath
                ","
Do not hang your head or clench your fists
when even your friend, after hearing the story,
says, My mother would never put up with that. 
Fight the urge to rattle off statistics: that,
more often, a woman who chooses to leave
is then murdered. The hundredth time 
your father says, But she hated violence,
why would she marry a guy like that?—",Natasha Trethewey,"Living,Death,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,Crime & Punishment"
39,"
                    Duty
                ","
When he tells the story now
he's at the center of it, 
everyone else in the house
falling into the backdrop— 
my mother, grandmother,
an uncle, all dead now—props 
in our story: father and daughter
caught in memory's half-light. 
I'm too young to recall it,
so his story becomes the story: 
1969, Hurricane Camille
bearing down, the old house 
shuddering as if it will collapse.
Rain pours into every room 
and he has to keep moving,
keep me out of harm's way— 
a father's first duty: to protect.
And so, in the story, he does: 
I am small in his arms, perhaps
even sleeping. Water is rising 
around us and there is no
higher place he can take me 
than this, memory forged
in the storm's eye: a girl 
clinging to her father. What
can I do but this? Let him 
tell it again and again as if
it's always been only us, 
and that, when it mattered,
he was the one who saved me.
",Natasha Trethewey,"Living,Parenthood,Relationships,Family & Ancestors,Nature,Weather"
40,"
                    Meditation at Decatur Square
                ","
1 
In which I try to decipher
                          the story it tells,
this syntax of monuments                           flanking the old courthouse:
                                       here, a rough outline
like the torso of a woman                           great with child—                                        a steatite boulder from which                           the Indians girdled the core
                                                     to make of it a bowl,                                        and left in the stone a wound; here, 
the bronze figure of Thomas Jefferson,                                        quill in hand, inscribing                           a language of freedom,                                                     a creation story—                                        his hand poised at the word                            happiness. There is not yet an ending,                                        no period—the single mark,
intended or misprinted, that changes                           the meaning of everything. 
Here too, for the Confederacy,
                          an obelisk, oblivious
               in its name—a word                           that also meant the symbol
to denote, in ancient manuscripts,                the spurious, corrupt, or doubtful;
                                             at its base, forged                           in concrete, a narrative                of valor, virtue, states' rights.  
Here, it is only the history of a word,                           obelisk,                that points us toward                           what's not there; all of it
palimpsest, each mute object                 repeating a single refrain:                  Remember this.
",Natasha Trethewey,"Social Commentaries,History & Politics,Race & Ethnicity,Mythology & Folklore,Heroes & Patriotism"
41,"
                    Agent Blue
                ","
To kill correctly
takes calculation.
 
Down to a science.
Arsenic
cacodylic acid.
 
Know water and rice
on a cellular level.
 
Make sure
no surviving
seed can be
collected
and planted.
 
Because even
a small seed
assures
survival.
 
Because
mortars,
grenades
and bombs
cannot destroy
a grain.
 
Because our
heart is made
of seeds.
 
Know what it
takes to kill
the seeds.
 
Know what it
takes to deprive
the plant of water,
to dehydrate it.
 
To be surrounded
by love but unable
to absorb it.
",Teresa Mei Chuc,"Nature,Trees & Flowers,Social Commentaries,War & Conflict"
42,"
                    scent of orange blossoms: haiku/senryu
                ","
this morning
weaving Chi in the garden
invisible ball in my hand
 
 
*
 
 
Halong Bay
battle distant memory
smoke from Gulf of Tonkin
 
 
*
 
 
did the atom
ever know its destiny
how our hands create?
 
 
 
 
 
 
 
 
 
 
A student asked me,
“Why do your people
believe in dragons?”
 
 
*
 
 
river birch –
undressing
in the wind
 
 
*
 
 
the solid bones of elk antlers
or branches of a limber pine –
memory
 
 
 
 
 
 
 
 
 
 
bobcat with mange
unwatered plants
also dying
 
 
*
 
 
mountain lion
her land, before ours
invasive plants
 
 
*
 
 
scent of orange blossoms –
memories of my late grandma
who planted this tree
 
 
 
 
 
 
 
 
 
yarrow seedlings
pop up a week later –
each moment a small beginning
 
 
*
 
 
stopped in my tracks
by a primrose blooming –
I, too, will overcome this
 
 
*
 
 
dinner
a bowl of rice and soy sauce
food to survive on
 
 
*
 
 
my heart
the Santa Ana winds today
branches fall to the ground
 
",Teresa Mei Chuc,"Relationships,Family & Ancestors,Nature,Animals,Seas, Rivers, & Streams,Social Commentaries,History & Politics"
43,"
                    [into the strenuous briefness]
                ","
into the strenuous briefness
Life:
handorgans and April
darkness,friends
 
i charge laughing.
Into the hair-thin tints
of yellow dawn,
into the women-coloured twilight
 
i smilingly
glide.  I
into the big vermilion departure
swim,sayingly;
 
(Do you think?)the
i do,world
is probably made
of roses & hello:
 
(of solongs and,ashes)
 
",E. E. Cummings,"Living,Death,Time & Brevity"
44,"
                    To Make Color
                ","
Every morning, my grandmother cleaned the Fischer stove
in the back of the trailer, lifted ash in a shovel, careful
 
not to spill the white-gray dust. Precious, she said, her breath
smoking in the cold. Precious in winter's first lavender
 
not-quite-light—and you could smell it, the faintest acrid hint
of ash, a crispness calling you from bed. You could watch her
 
cap it in a chicory coffee can to stack among others, back bent
from a long-gone fever. For the garden in spring, she said.
",Ryler Dustin,
45,"
                    Growing Apples
                ","
There is big excitement in C block today.
On the window sill,
in a plastic ice cream cup
a little plant is growing.
This is all the men want to talk about:
how an apple seed germinated
in a crack of damp concrete;
how they tore open tea bags
to collect the leaves, leached them
in water, then laid the sprout onto the bed
made of Lipton. How this finger of spring
dug one delicate root down
into the dark fannings and now
two small sleeves of green
are pushing out from the emerging tip.
The men are tipsy with this miracle.
Each morning, one by one,
they go to the window and check
the progress of the struggling plant.
All through the day they return
to stand over the seedling
and whisper.
",Nancy Miller Gomez,
46,"
                    Exit Glacier
                ","
When we got close enough
we could hear
 
rivers inside the ice
heaving splits
 
the groaning of a ledge
about to
 
calve. Strewn in the moraine
fresh moose sign—
 
tawny oblong pellets
breaking up
 
sharp black shale. In one breath
ice and air—
 
history, the record
of breaking—
 
prophecy, the warning
of what's yet to break
 
out from under
four stories
 
of bone-crushing turquoise
retreating.
",Peggy Shumaker,
47,"
                    Holy Days
                ","
Holy the days of the prune face junkie men
Holy the scag pumped arms
Holy the Harlem faces
looking for space in the dead rock valleys of the City
 
Holy the flowers
sing holy for the raped holidays
and Bessie’s guts spilling on the Mississippi
road
 
Sing holy for all of the faces that inched
toward freedom, followed the North Star
like Harriet and Douglass
 
Sing holy for all our singers and sinners
for all the shapes and forms
of our liberation
 
Holy, holy, holy for the midnight hassles
for the gods of our Ancestors bellowing
sunsets and blues that gave us vision
  O God make us strong and ready 
 
Holy, holy, holy for the day we dig ourselves
and rise in the sun of our own peace and place
and space, yes Lord.
 
 
                                                                                                1969/70
 
",Larry Neal,"Religion,The Spiritual,Social Commentaries,History & Politics,Race & Ethnicity"
48,"
                    Raptus
                ","
The door to the past is a strange door. It swings open and things pass through it, but they pass in one direction only. No man can return across that threshold, though he can look down still and see the green light waver in the weeds. 
          Loren Eiseley   
A door opens in the wilderness.
People cross through it—bloused women families
 
Acquaintances friends all the ones I have loved
Sleep-walkers night-walkers each dazed and shorn—
 
Street aurous with ice, a snowfall scratched into
Moons—and everything I’d known—
 
Inside the bleak floating light of my lungs
In the capillaries of my eyes a blood
 
Glancing through the hatches—
If I said I would always be grateful
 
If I lied or touched with spite
If night is just a foamline of shadows
 
Though we were both lost—the door
Opening—the fear of being shown
 
Whole to the one who must love you still—
And stopped as if on a walk to say
  Look at that and what matters what really counts 
And I’ll tell you everything if you promise I promise
 
I stood at door and behind me heard
Snow-plows scrape against roads
 
At the center of night—unknown to yourself 
And the word I said out-loud to no one
 
That meant it was all to no purpose 
The word for the desire inside destruction 
 
For everything that can never be brought back—
Loose snow blown hard to each bank
 
And the common reel of those who
To avoid one extreme rush toward its opposite—
 
Snow blasted to piles—and never opened up to
Anything that could reach me until you reached me—
 
Which hours belonged to us
When was I unknowingly alone
 
Why did you always return to walk here a path
Behind my closed eyes shedding salt
 
Dry snowfall and sticks—still were you here
With me I might say The moon rose in the casement window 
  The red-haired boy across the street has learned to ride his bike
There are still picnics there are fountains
 
And the world I am leaving behind says One learns to see one learns to be kind—
 
I closed my eyes I closed my hands
I shut down the fields in my arms
 
The cattle on the plains veins ditches
Blue ravines a gray bird
 
Sailing through a poplar brake kids
Throwing snow I closed the last swinging juncos
 
Sheep wool caught on barbed wire I closed
Fumes and clear patches of sky I seized
 
The river the town I shut down
The hard muscles of sleep farmlands
 
Warming under midnight salt-lights scruff-pines
On the ridge animals scattering across slopes I closed
 
The smooth bone of evening a storm
On the hills white and noiseless spindled
 
Prairies where I was born I shut I seized
The clouds I closed in anger—fervor—ardor
 
",Joanna Klink,"Living,Growing Old,Time & Brevity,Love,Realistic & Complicated,Nature,Weather"
49,"
                    Phantom Twin
                ","
We did not want to be
unblessed, so we were blessed.
 
Long, thin wire, a little
patch where we might lay our
 
heads. It was this way, this
looking fore and back, a pole
 
held tightly in our
hands. You want to tell me
 
what went wrong? Confusing
shapes across a wall, depression
 
in the ground. The gorgeous
soldiers fought and fell. Hie 
  unto hell. How we will lie in
that brave grave apart,
 
our aperture: a heart
that has been ruptured
 
absolutely by a passing God.
 
",Katy Lederer,"Living,Death,Religion,The Spiritual"
50,"
                    The Ambassador of the Interior Has a Talking to With the Minister of the Cabinet of Vengeance
                ","
God started small                     At the first showdown
between good and evil       God didn’t come at anyone 
like a cowboy       God didn’t open with solar flares
or asteroids       or mass extinction            or planetary heat death 
God didn’t outgun anyone               God outmanned them
God made man        in the face of the beast 
And in the face of the beast      God made     —from inside 
the great and gaping maw         while languishing 
in the hot damp                           In the face of that 
great terror          God summoned the smallest— 
adrenaline        serotonin        hemoglobin        oxytocin        motes
of possibility      God started by making— 
light into land masses      sand into vessels      preservation
as civilization   and sometimes   God won
 
",Stephanie Ellis Schlaifer,"Nature,Religion,God & the Divine"
51,"
                    Welcome
                ","
Everything you thought you knew
must be relearned overnight.
 
How to walk.
Walk, not trip, over cords, 2x4s,
used coffee cups, concrete cores.
Walk, 40 pounds on your shoulder, across
rebar or a wood plank; glide,
not wobble, not look like the bounce
beneath each bootstep scares you.
 
How to dress yourself
to work outdoors all day midwinter
and keep warm, keep working, fingers moving;
or midsummer, with no hint of breasts.
 
How to climb ladders–
not a stepstool or a 4-footer–
ladders that stretch up two stories
where someone’s impatient
for that bundle of pipe.
 
How to get coffee–
hot and how they like it–to a crew
spread out 10 floors; to carry muffins
three blocks in a paper sack
through sheets of rain.
 
How to look.
To never go back empty-handed
when you’re told, Grab me a This/That from the gangbox, if all you’ve done
is move things around, poke here and there;
if you haven’t emptied out the full contents
so the journeyman won’t shame you
by finding This/That in a quick minute,
after you’ve said, We don’t have any. 
 
How to be dependable
but not predictable-provokable.
Not the lunch break entertainment.
 
How to read
blueprints,
delivery orders,
the mood on the job;
how long it’s okay to sit down for coffee;
how early you can start rolling up cords.
 
How to do well in school
from the back row
of a seats-assigned-Jim-Crow classroom
How to learn tricks-of-the-trade
from someone who does not like you.
 
How to listen, to act-don’t-ask.
To duck when someone motions, Duck! 
Or when someone tells you, Don’t talk to Zeke,
to know what they mean
so you don’t even look
at Zeke, the ironworker who’s always first out,
last in, standing there, so four times a day–
start, lunch, quit–all the workers walk past him,
like a sandbar, waves washing back and forth,
that catches debris.
 
How to pick up the phone and call your friend,
the only one of the women not at class
the night the apprenticeship director met you all
at the door
carrying the nervous rumor
that one of the women had been raped
and you all look at each other
and it wasn’t any of you five.
 
How to respond–within protocol–
when someone takes your ladder or tools,
imitates your voices on the loudspeaker,
spraypaints Cunt on your Baker staging,
urinates in your hardhat,
drives to your home
where you live alone
with your daughter
and keys your truck parked
in your own driveway.
 
Later, you’ll need the advanced skills:
how–without dislodging the keystone–
to humiliate a person, how to threaten
a person. Deftly.
So no one’s certain for absolute
that’s what happened. Not even you.
 
",Susan Eisenberg,"Activities,Jobs & Working,School & Learning,Social Commentaries,Gender & Sexuality,Race & Ethnicity"
52,"
                    Pioneers, First Women in Construction
                ","
Her sister was shot, and hers found bludgeoned
dead in her car trunk; her mother was alcoholic,
and hers a suicide; her daughter killed by an uncle,
and hers stayed alive thanks to prison.
Before the term, date-raped, she was. Before domestic violence, love punched her face.
 
We wanted the career. Not just skills and money,
but structure, focus, printed plans, the rowdy order
of raising buildings that years later would still stand
right where you left them. We joined a tradition,
expected a well-marked path and a welcome.
The earnest ads never mentioned
 
we’d be human minesweepers steering around
barricades, sinkholes, lethal instructions, We learned
Solidarity was a corporation privately held.
Some left in shock. Some were maimed.
Some went missing. A few found gold.
 
Those with talent for sifting real threat from bluff,
or detecting hair-triggers before the blast, fared best,
We taught ourselves to disarm booby traps, shared
hand-drawn maps, and prepared for a long winter.
We lied on postcards home.  
 
",Susan Eisenberg,"Activities,Jobs & Working,Social Commentaries,Gender & Sexuality"
53,"
                    With a Coat
                ","
I was cold and leaned against the big oak tree
as if it were my mother wearing a rough apron
of bark, her upraised arms warning of danger.
Through those boughs and leaves I saw
dark patches of sky. I thought a brooding
witch waited to catch me up from under
branches and take me, careening on her broom,
to her home in the jaundiced moon.
I looked to the roof of mom and dad's house
and wondered if the paisley couch patterns
would change during the day. My brother peeked
from a window and waved. When the bus came,
I pawed away from the trunk, fumbled,
and took my first step toward not returning.
",Dante Di Stefano,
54,"
                    Bakery of Lies
                ","
My favorite is the cream puff lie,
the kind inflated with hot air,
expanded to make an heroic-sized story.
 
Another is the cannoli, a long lie,
well-packed with nutty details,
lightly wrapped in flakey truth.
 
A macaroon isn't a little white lie,
but it's covered
with self-serving coconut.
 
The apple tart carries slices
of sour gossip, only
slightly sweetened with truth.
 
Then there's the napoleon,
an Iago lie of pernicious intent,
layer upon layer of dark deceit.
",Judith Askew,
55,"
                    Old Country Portraits
                ","
My lost sister used to try the trick
with the tablecloth, waiting until
the wine had been poured, the gravy boat filled,
before snapping the linen her way
 
smug as a matador, staring down
silver and crystal that would dare move,
paying no mind to the ancestor gloom
gliding across the wallpaper like clouds
 
of a disapproving front—no hutch
or bureau spared, no lost sister sure
the trick would work this time, all those she loved
in another room, nibbling saltines,
 
or in the kitchen, plating the last
of the roast beef. How amazed they would be
to be called to the mahogany room
for supper, to find something missing,
 
something beautiful, finally, they could
never explain, the wine twittering
in its half-globes, candles aflutter, each
thing in its place, or so it seemed then,
 
even though their lives had changed for good.
",Richard Robbins,
56,"
                    Cradle Thief
                ","
""A cradle thief,"" my mother called the man
we'd see in shops, cafes, parks, even church,
with ""that poor girl"" beside him. Hand in hand,
they'd walk as if they didn't feel the scorch
of people's stares. The day we saw him press
his lips to hers, my mother blocked my eyes
as if his mouth (I longed for my first kiss)
against her mouth was smothering her cries.
All week, I ran a fever that wouldn't break.
""A cradle thief""—a voice I only half
knew as my own surprised me in the dark,
my sick-bed wet with shivers. ""A cradle thief,""
I said again, as if the words could will
my window broken, footprint on the sill.
 
",Caitlin Doyle,
57,"
                    The Ambition Bird
                ","
So it has come to this –
insomnia at 3:15 A.M.,
the clock tolling its engine
 
like a frog following
a sundial yet having an electric
seizure at the quarter hour.
 
The business of words keeps me awake.
I am drinking cocoa,
the warm brown mama.
 
I would like a simple life
yet all night I am laying
poems away in a long box.
 
It is my immortality box,
my lay-away plan,
my coffin.
 
All night dark wings
flopping in my heart.
Each an ambition bird.
 
The bird wants to be dropped
from a high place like Tallahatchie Bridge.
 
He wants to light a kitchen match
and immolate himself.
 
He wants to fly into the hand of Michelangelo
and come out painted on a ceiling.
 
He wants to pierce the hornet’s nest
and come out with a long godhead.
 
He wants to take bread and wine
and bring forth a man happily floating in the Caribbean.
 
He wants to be pressed out like a key
so he can unlock the Magi.
 
He wants to take leave among strangers
passing out bits of his heart like hors d’oeuvres.
 
He wants to die changing his clothes
and bolt for the sun like a diamond.
 
He wants, I want.
Dear God, wouldn’t it be
good enough just to drink cocoa?
 
I must get a new bird
and a new immortality box.
There is folly enough inside this one.
 
",Anne Sexton,"Living,Death,Life Choices,Arts & Sciences,Poetry & Poets"
58,"
                    Appalachian Elegy (Sections 1-6)
                ","
1.
 
hear them cry
the long dead
the long gone
speak to us
from beyond the grave
guide us
that we may learn
all the ways
to hold tender this land
hard clay direct
rock upon rock
charred earth
in time
strong green growth
will rise here
trees back to life
native flowers
pushing the fragrance of hope
the promise of resurrection
 
2.
 
such then is beauty
surrendered
against all hope
you are here again
turning slowly
nature as chameleon
all life change
and changing again
awakening hearts
steady moving from
unnamed loss
into fierce deep grief
that can bear all burdens
even the long passage
into a shadowy dark
where no light enters
 
3.
 
night moves
through the thick dark
a heavy silence outside
near the front window
a black bear
stamps down plants
pushing back brush
fleeing manmade
confinement
roaming unfettered
confident
any place can become home
strutting down
a steep hill
as though freedom
is all
in the now
no past
no present
 
4.
 
earth works
thick brown mud
clinging pulling
a body down
heard wounded earth cry
bequeath to me
the hoe the hope
ancestral rights
to turn the ground over
to shovel and sift
until history
rewritten resurrected
returns to its rightful owners
a past to claim
yet another stone lifted to
throw against the enemy
making way for new endings
random seeds
spreading over the hillside
wild roses
come by fierce wind and hard rain
unleashed furies
here in this touched wood
a dirge a lamentation
for earth to live again
earth that is all at once a grave
a resting place a bed of new beginnings
avalanche of splendor
 
5.
 
small horses ride me
carry my dreams
of prairies and frontiers
where once
the first people roamed
claimed union with the earth
no right to own or possess
no sense of territory
all boundaries
placed by unseen ones
here I will give you thunder
shatter your hearts with rain
let snow soothe you
make your healing water
clear sweet
a sacred spring
where the thirsty
may drink
animals all
 
6.
 
listen little sister
angels make their hope here
in these hills
follow me
I will guide you
careful now
no trespass
I will guide you
word for word
mouth for mouth
all the holy ones
embracing us
all our kin
making home here
renegade marooned
lawless fugitives
grace these mountains
we have earth to bind us
the covenant
between us
can never be broken
vows to live and let live
 
",bell hooks,"Living,Death,Relationships,Family & Ancestors,Nature,Landscapes & Pastorals,Religion,The Spiritual,Social Commentaries,History & Politics"
59,"
                    Aquarium, February
                ","
When ice outside makes daggers of the grass,
I come to where the tides of life still flow.
The water here still moves behind the glass.
 
In here, the seasons never seem to pass—
the sullen shark and rays still come and go.
Outside the ice makes daggers of the grass
 
and coats the roads. The meditative bass
won't puzzle how the blustery blizzards blow.
The water here still moves. Behind the glass,
 
rose-tinted corals house a teeming mass
of busy neon creatures who don't know
""outside."" The ice makes daggers of the grass
 
and oily puddles into mirrors. Gas
freezes in its lines; my car won't go,
but water here still moves behind the glass.
 
No piles of valentines, no heart held fast—
just sea stars under lights kept soft and low.
Outside, the ice makes daggers of the grass;
in here, the water moves behind the glass.
 
",Liz Ahl,
60,"
                    A Poem of Love in Eleven Lines
                ","
Dreamer of purified fury and fabulous habit,
your eyes of deserted white afternoons
target, stiffen, riot with unicorn candor
so I swallow your body like meanings or whisky or as you swallow me.
 
Break rhythm here:      your kiss is my justice:
look then now how orange blooms of jubilation unfold in satisfied air!
This sex is more than sex, under the will of the God of sex,
so I softly invoke transformation of your rueful image of haven
–those frozen rocks, that guilty lighthouse isolate from temptation–
to warm Flemish landscape green and brighteyed with daisies of
     dizzying color
where pilgrims are dancing after gospelling bird who sing of
      new springs, good water.
 
",Gerrit Lansing,"Love,Desire,Religion,The Spiritual"
61,"
                    From Under the Mat Where Sat the Cat
                ","
Extricate, but not too much,
unfaithful digger of concordances,
let be the whole tasty clutch of it, rhyme
of I’m, not, awake,
child,
bequeathing willow trees beside a stream.
Not only old ravines
but Euclid Avenue,
my first escalator (Hal-ease Department Store)
were woven in the mat where sat the cat.
I say Department, was a sexual story
because Mother’s store it was, her bailiwick,
father absent in a void called “Work.”
Precarious. Don’t try get it all in. Bailey’s
was another tasty store, such glitterglass.
And later learned that testicles was store,
alaya-vijnana.
O dark dirty Cleveland, the Viking Club, the mysteries!
All I want is loving you and blank-blank blank-blank blank-blank
It’s only unmentionable because there’s no end to chasing it
the tale of it and you and sustenance.
Hundreds are fleeing, but not hurricanes.
Violets, I always brought her wild violets in spring.
Breathless romanzas secret in the Flats.
Percolate the spiderwebs.
Not what you expected, eh?
I could bite you back, you furry thing, but you’d never understand.
 
",Gerrit Lansing,"Living,Youth,Love,Desire,Relationships,Home Life,Pets"
62,"
                    The Great Form is Without Shape
                ","
All life long
you are unhanding
unhanding and unhanding
what was handed you.
 
All life long
you throw out the line of life.
You throw out the line, stinging
up from your guts.
 
Were they planting trees,
your father and your mother?
Did they ever plant?
Is that a line of trees
far away
green line?
 
All life long
you include something
that includes your life.
You are in the egg.
 
                                          (                In the center of a picture,
                                          two angels hold a transparent crystal
                                          egg of teardrop shape. In the egg
                                          the ocean god is throned, left leg
                                          crossed over right, trident in right
                                          hand. Under his outstretched arms two
                                          children or little people stand, a boy
                                          at his right, a girl at his left. The
                                          boy’s head is crowned with a sun, the
                                          girl’s, with a crescent moon.
 
                                                         That’s the middle level of
                                          the picture. At the top a blazing
                                          sun with human features dominates the
                                          vertical axis. At the bottom a man
                                          and a woman kneel on either side a
                                          furnace, man to the right of the
                                          furnace, woman to the left. In the
                                          furnace itself, directly below the egg
                                          containing the god, is suspended a
                                          similar egg, empty.                            )
 
All life long
the dew falls from heaven
all life long
trees climb up from underground waters. 
 
In the seed of the old god the new gods are swarming.
 
Earth is ready for planting.
 
The shut eye is opening.
 
The heat.
 
",Gerrit Lansing,"Relationships,Family & Ancestors,Nature,Religion,The Spiritual"
63,"
                    Weren't We Beautiful
                ","
growing into ourselves
earnest and funny we were
angels of some kind, smiling visitors
the light we lived in was gorgeous
we looked up and into the camera
the ordinary things we did with our hands
or how we turned and walked
or looked back we lifted the child
spooned food into his mouth
the camera held it, stayed it
there we are in our lives as if
we had all time
as if we would stand in that room
and wear that shirt those glasses
as if that light
without end
would shine on us
and from us.
 
",Marjorie Saiser,
64,"
                    Breadwinning for Birds
                ","
They pay me to lift
the ball off the bat
touch the slender hand
and slip beneath the taut band
 
I plant bulbs and mulch the mound
I hone a group of black birds
I do the simplest thing
 
In unison with the trees
people move as the sun moves
He calls a seagull an eagle
and I agree
 
Across the pond
they say I will
I know this is a problem
for the painter, etc.
 
Tell me where to go
if they ditch me mid-season
tell me a word
seeks its world
 
Praise be to the upper lip of decision
praise be to dumb clanking stems
 
Everything is alive
even you, floral loafer
 
",Alli Warren,"Activities,Sports & Outdoor Activities,Nature,Trees & Flowers"
65,"
                    Otto Dix
                ","
In Exodus
Moses is hidden 
in a cleft, behind God’s hand,
begging, 
and he sees — rushing past him — 
God’s back, diminishing. 
Moses stops begging.
God’s back is black fog. 
I know. He, we guess,
means to do it,
to do all of this. 
The brute center part
of an iridescent moth. 
The carnation
against the man.
",Molly Brodak,"Nature,Trees & Flowers,Religion,Faith & Doubt,God & the Divine,Arts & Sciences,Painting & Sculpture,Social Commentaries,War & Conflict"
66,"
                    Where Are the Days of Tobias
                ","



                               Where are the days of Tobias,
when one of you, veiling his radiance, stood at the front door,
slightly disguised for the journey, no longer appalling.
— Rainer Maria Rilke, tr. by Stephen Mitchell



The fresco cracks cooperatively over time. Not to give a secret away
but gradually to break off keeping it. In the sky you make birds
like this, one wing longer than the other, an asymmetrical v
wedged against wind, one stroke longer than another,
never the bodies turned the same direction, each finding
its own angle, and one, in the distance,
a dot. These are the Deadly Birds of the Soul
Rilke was forced to call terrifying.
Migratory, weighing no more than a pencil.
Because every flying thing is passionate, and every flight
a posture torn from stone.
There was a time it was a theme
parents would pay an artist to realize — the face of a beloved son,
a Luca or Piero, painted onto the shoulders of Tobias,
painted into the company of Raphael. You tell yourselves
and your quiet house
no harm will come to the boy
as he goes out. A guardian, though, is not a guard. To keep safe
is subtly different from confining. Radiance can strategically
direct itself to seem like us, ready, as it were, to walk.
As a mirror goes through the appearance of requiring
subsistence, goes through the motions of a meal
whose food appears to be food.
Radiance, we know, is never quite as warm as light.
Who has not tasted the silver in sea mist?
Whosever they are, angels are the first to surface there.
You know a guardian by the silver of a river-crossing,
of a father’s filmy eyes, in gall, heart, fire,
and mostly smoke. In smoke and mostly mirror.
As, wedged between forward and backward being,
rehashing and planning ahead, presence will be specked again
with being erased, a reusable writing surface
calling down to the life without rest, the self-propelled
surveillances of sharks.
",Sarah Gridley,"Relationships,Family & Ancestors,Religion,God & the Divine,Arts & Sciences,Painting & Sculpture"
67,"
                    Panic at John Baldessari’s Kiss
                ","
The aftermath always happening like an airplane falling, or a man
midair falling from a horse, and an arrow, a gun, many guns
pointing away, at us, our all bull’s-eye-on-the-mark. This is what he
sees when he sees. Maybe Wrong or not, the appropriation, the film
clip, chase, pressed lips over lips, photo moment on the minute-drawn
breath in, the over, the under, bodies in black and white cut to pose,
the way a kiss can pose, dispose of everything around it for another,
dispose of thinking. It’s like waving good-bye. Mouth to mouth seeing
as saying. Inside. Resuscitation back to the brain saying yes as the mouth
makes an O. Circles for the digital age, colored dots for faces already
made for erasing. Hurry, come, he, 6’7”, sees fifteen minutes from the
Mexican border, cremates his old paintings up close. But the ashes were
kept in a book urn, not so afloat in the ocean with my parents, Above,
On, and Under (with Mermaid)",Elena Karina Byrne,"Living,The Mind,Love,Desire,Arts & Sciences,Painting & Sculpture,Social Commentaries,Gender & Sexuality"
